raceId,code,stint1,stint2,stint3,stint4,stint5,stint6
1012,HAM,Used medium (56),,,,,
1012,BOT,Used medium (21),Hard  (15),Medium (20),,,
1012,VET,Used medium (18),Hard  (17),Medium (21),,,
1012,VER,Used medium (17),Hard  (17),Medium (22),,,
1012,LEC,Used medium (22),Hard  (20),Medium (14),,,
1012,GAS,Used soft (19),Hard  (20),Medium (14),Soft (3),,
1012,RIC,Used soft (18),Hard  (37),,,,
1012,PER,Medium (20),Hard  (35),,,,
1012,RAI,Medium (25),Hard  (30),,,,
1012,ALB,Soft (19),Hard  (36),,,,
1012,GRO,Used soft (8),Hard  (27),Medium (20),,,
1012,STR,Medium (20),Hard  (24),Soft (11),,,
1012,MAG,Used soft (9),Hard  (24),Medium (22),,,
1012,SAI,Medium (1),Hard  (35),Soft (19),,,
1012,GIO,Soft (7),Medium (23),Medium (25),,,
1012,RUS,Medium (22),Hard  (27),Soft (5),,,
1012,KUB,Medium (26),Hard  (28),,,,
1012,NOR,Medium (1),Hard  (16),Medium (17),Soft (16),,
1012,KVY,Medium (7),Medium (18),Hard  (5),Soft (11),,
1012,HUL,Used soft (11),Hard  (5),,,,
991,RIC,Ultra soft (17),Medium (14),Soft (25),,,
991,BOT,Soft (19),Medium (37),,,,
991,RAI,Soft (27),Medium (29),,,,
991,HAM,Soft (18),Medium (38),,,,
991,VER,Ultra soft (17),Medium (14),Soft (25),,,
991,HUL,Ultra soft (13),Medium (18),Soft (25),,,
991,ALO,Soft (29),Medium (27),,,,
991,VET,Soft (20),Medium (36),,,,
991,SAI,Ultra soft (12),Medium (19),Soft (25),,,
991,MAG,Soft (24),Medium (32),,,,
991,OCO,Soft (11),Soft (20),Ultra soft (25),,,
991,PER,Ultra soft (12),Soft (20),Soft (24),,,
991,VAN,Soft (22),Medium (34),,,,
991,STR,Soft (23),Medium (33),,,,
991,SIR,Soft (28),Medium (5),Soft (23),,,
991,ERI,Soft (29),Medium (27),,,,
991,GRO,Ultra soft (16),Medium (30),Ultra soft (10),,,
991,GAS,Medium (20),Soft (11),Ultra soft (25),,,
991,LEC,Soft (21),Medium (35),,,,
991,HAR,Ultra soft (10),Medium (20),Soft (21),,,
970,HAM,Intermediate (4),Soft (32),Soft (20),,,
970,VET,Intermediate (2),Soft (32),Soft (22),,,
970,VER,Intermediate (4),Super soft (25),Super soft (27),,,
970,RIC,Intermediate (4),Super soft (29),Super soft (23),,,
970,RAI,Intermediate (4),Soft (35),Super soft (17),,,
970,BOT,Intermediate (4),Soft (31),Soft (21),,,
970,SAI,Super soft (28),Soft (28),,,,
970,MAG,Intermediate (2),Super soft (30),Super soft (24),,,
970,PER,Intermediate (2),Super soft (18),Super soft (29),Super soft (7),,
970,OCO,Intermediate (2),Soft (40),Super soft (14),,,
970,GRO,Intermediate (2),Super soft (3),Soft (30),Super soft (21),,
970,HUL,Intermediate (1),Soft (32),Super soft (23),,,
970,PAL,Super soft (30),Soft (26),,,,
970,MAS,Intermediate (2),Soft (22),Super soft (24),Super soft (8),,
970,ERI,Intermediate (2),Soft (54),,,,
970,ALO,Intermediate (2),Soft (31),,,,
970,KVY,Intermediate (2),Soft (16),,,,
970,VAN,Intermediate (2),Soft (15),,,,
970,GIO,Intermediate (2),Soft (1),,,,
950,ROS,Soft (20),Soft (16),Medium (20),,,
950,VET,Super soft (4),Super soft (13),Soft (18),Soft (21),,
950,KVY,Super soft (4),Soft (15),Soft (16),Medium (21),,
950,RIC,Super soft (3),Soft (16),Soft (18),Medium (19),,
950,RAI,Super soft (1),Soft (13),Medium (23),Soft (19),,
950,MAS,Soft (19),Soft (12),Medium (25),,,
950,HAM,Soft (1),Soft (4),Super soft (1),Soft (15),Soft (9),Medium (26)
950,VER,Super soft (4),Soft (16),Medium (19),Soft (17),,
950,SAI,Super soft (4),Soft (15),Soft (14),Medium (23),,
950,BOT,Super soft (4),Soft (17),Soft (9),Medium (26),,
950,PER,Super soft (4),Soft (14),Soft (10),Medium (28),,
950,ALO,Soft (16),Medium (16),Medium (24),,,
950,BUT,Super soft (4),Medium (23),Medium (17),Super soft (12),,
950,GUT,Soft (19),Soft (15),Super soft (9),Super soft (12),,
950,HUL,Super soft (4),Soft (13),Soft (9),Medium (20),Super soft (9),
950,ERI,Soft (4),Medium (24),Medium (27),,,
950,MAG,Super soft (4),Soft (16),Soft (15),Medium (20),,
950,WEH,Soft (15),Soft (12),Soft (16),Super soft (12),,
950,GRO,Soft (1),Soft (19),Soft (13),Super soft (11),Super soft (11),
950,NAS,Soft (1),Medium (19),Medium (20),Soft (15),,
950,HAR,Soft (18),Soft (10),Soft (12),Medium (15),,
950,PAL,Soft (15),Super soft (9),Soft (14),Medium (17),,
928,HAM,Soft (14),Soft (19),Medium (23),,,
928,ROS,Soft (15),Soft (16),Medium (25),,,
928,VET,Soft (13),Soft (17),Medium (26),,,
928,RAI,Soft (15),Soft (19),Medium (22),,,
928,MAS,Soft (13),Medium (21),Medium (22),,,
928,BOT,Soft (14),Medium (21),Medium (21),,,
928,GRO,Soft (12),Medium (20),Medium (24),,,
928,NAS,Soft (10),Medium (21),Medium (25),,,
928,RIC,Soft (14),Soft (22),Medium (20),,,
928,ERI,Soft (14),Soft (16),Medium (25),,,
928,PER,Soft (11),Soft (15),Soft (15),Medium (14),,
928,ALO,Soft (12),Medium (23),Soft (20),,,
928,BUT,Soft (14),Soft (18),Medium (23),,,
928,SAI,Medium (19),Soft (20),Soft (16),,,
928,STE,Soft (16),Medium (22),Soft (16),,,
928,MER,Soft (17),Medium (23),Soft (14),,,
928,VER,Soft (12),Medium (20),Medium (20),,,
928,MAL,Soft (11),Medium (22),Medium (16),,,
928,KVY,Medium (15),,,,,
928,HUL,Soft (9),,,,,
903,HAM,Soft (17),Medium (21),Medium (18),,,
903,ROS,Soft (13),Medium (24),Medium (19),,,
903,ALO,Soft (11),Medium (22),Medium (23),,,
903,RIC,Soft (15),Medium (22),Medium (19),,,
903,VET,Soft (12),Medium (22),Medium (22),,,
903,HUL,Soft (11),Medium (20),Medium (25),,,
903,BOT,Soft (12),Medium (19),Medium (25),,,
903,RAI,Soft (10),Medium (21),Medium (25),,,
903,PER,Soft (10),Medium (20),Medium (26),,,
903,KVY,Soft (14),Medium (17),Medium (24),,,
903,BUT,Soft (7),Medium (21),Medium (27),,,
903,VER,Soft (15),Soft (17),Medium (23),,,
903,MAG,Medium (17),Soft (14),Medium (24),,,
903,MAL,Soft (11),Medium (21),Medium (23),,,
903,MAS,Soft (10),Medium (21),Medium (24),,,
903,GUT,Soft (14),Medium (13),Medium (13),Soft (15),,
903,BIA,Soft (11),Medium (17),Medium (27),,,
903,KOB,Soft (11),Medium (19),Soft (10),Soft (15),,
903,CHI,Soft (12),Medium (20),Medium (16),Soft (6),,
903,ERI,Soft (10),Medium (17),Soft (15),Soft (12),,
903,GRO,Soft (9),Medium (19),,,,
903,SUT,Soft (5),,,,,
882,ALO,Soft (6),Medium (17),Medium (18),Medium (15),,
882,RAI,Soft (6),Medium (15),Medium (13),Medium (22),,
882,HAM,Soft (5),Medium (16),Medium (16),Medium (19),,
882,VET,Medium (14),Medium (17),Medium (20),Soft (5),,
882,BUT,Medium (23),Medium (26),Soft (7),,,
882,MAS,Soft (7),Medium (12),Medium (17),Medium (20),,
882,RIC,Soft (4),Medium (19),Medium (15),Medium (18),,
882,DIR,Medium (14),Medium (18),Medium (21),Soft (3),,
882,GRO,Soft (7),Medium (16),Medium (14),Medium (19),,
882,HUL,Medium (14),Medium (15),Soft (7),Medium (20),,
882,PER,Medium (24),Soft (7),Medium (25),,,
882,VER,Medium (15),Medium (22),Soft (6),Medium (13),,
882,BOT,Medium (16),Medium (18),Medium (17),Soft (5),,
882,MAL,Soft (7),Medium (16),Medium (16),Medium (17),,
882,BIA,Soft (6),Medium (10),Medium (16),Medium (23),,
882,PIC,Soft (5),Medium (12),Medium (16),Medium (22),,
882,CHI,Soft (7),Medium (14),Medium (12),Medium (22),,
882,VDG,Soft (6),Medium (14),Medium (17),Medium (18),,
882,ROS,Soft (5),Medium (14),Medium (2),,,
882,WEB,Soft (1),Medium (14),,,,
882,SUT,Soft (5),,,,,
882,GUT,Medium (4),,,,,
862,ROS,Soft (13),Medium (21),Medium (22),,,
862,MSC,Soft (12),Medium (0),,,,
862,KOB,Soft (9),Medium (16),Soft (13),Medium (18),,
862,RAI,Soft (10),Medium (18),Medium (28),,,
862,BUT,Soft (11),Soft (13),Medium (15),Medium (17),,
862,WEB,Soft (6),Medium (15),Medium (13),Medium (22),,
862,HAM,Soft (10),Soft (12),Medium (16),Medium (18),,
862,PER,Soft (16),Medium (19),Medium (21),,,
862,ALO,Soft (12),Medium (15),Soft (11),Medium (18),,
862,GRO,Soft (11),Medium (21),Medium (24),,,
862,VET,Soft (9),Medium (22),Medium (25),,,
862,MAS,Medium (18),Medium (23),Soft (15),,,
862,MAL,Soft (11),Medium (22),Medium (23),,,
862,SEN,Medium (12),Soft (17),Medium (27),,,
862,DIR,Soft (11),Medium (21),Medium (24),,,
862,HUL,Soft (9),Medium (21),Medium (26),,,
862,RIC,Medium (17),Soft (16),Medium (23),,,
862,VER,Medium (11),Medium (17),Soft (13),Soft (15),,
862,KOV,Soft (12),Medium (16),Medium (1),Medium (18),Soft (6),
862,PET,Soft (10),Medium (19),Medium (26),,,
862,GLO,Soft (18),Medium (18),Medium (19),,,
862,PIC,Soft (19),Medium (18),Medium (18),,,
862,DLR,Soft (17),Soft (14),Medium (24),,,
862,KAR,Soft (16),Soft (16),Medium (22),,,
